w,pron,fra,spa,hin,deu,jpn,fin,bul,nor,dan,ara,ces,cym,ell,gle,hrv,hun,ita,lat,lit,nld,pol,por,rom,rus,srp,swe,swh,tur,afr
approval,əpruːvəl,"acclamation, agrément, approbation",aplauso,"अनुमोदन, The terms are subject to the approval of th managing committee.",,"決裁, 承認, 承認, 賛成","hyväksyminen, hyväksyntä","съгласие, разрешение",,,,souhlas,cymeradwyaeth,,,"dopuštenje odobrenje, homologacija, odobravanje, odobrenje, pohvala, povlađivanje, pristanak, privola, saglasnost, suglasnost","imprimatúra, elfogadás, jóváhagyás, helybenhagyás, hozzájárulás, helyeslés, nyomási engedély, beleegyezés","applausi, approvazione",acclamatio,,,,"aclamação, ovação, aplauso, aprovação",,,,"applåd, bifall, godkännande",,"uygun bulma, onama, onaylama, tasvip, razı olma, resmi izin. on  approval muhayyer olarak, beğenilmediği  takdirde geri verilmek şartıyla.","akklamasie, applous"
approve,əpruːv,"approuver, donner son accord",,"अनुमोदन~करना, Your tour programme has been approved by the financial authorities., The text book is approved by the Board of Secondary Education M.P. Bhopal., पसन्द~करना, I don't approve of your misbehaviour with the elders.",,賛成,"näyttää todeksi, osoittaa, hyväksyä, hyväksyä, suvaita, antaa suostumus, hyväksyä, vahvistaa","доказвам, одобрявам, утвърждавам",,,,souhlasit,cymeradwyo,,,"odobriti, oprobati, ovlastiti, pohvaliti, pokazati, potvrditi, povlađivati, priznati",,approvare,approbare,,,,"aplaudir, aprovar, assentir, deferir",,,,godkänna,,"uygun bulmak, tasvip  etmek, onaylamak, tasdik etmek, beğenmek, münasip görmek, tensip etmek, denemek, yoklamak. approvingly  beğenerek, tasvip  ve tasdik ederek.",
approving,/əˈpɹuː.vɪŋ/,,,,,,hyväksyvä,,,,,schvalováno,,,,,,,,,,,,,,,,,,
approximate,/ə.ˈpɹɑk.sə.meɪt/,,,"लगभग, The approximate estimate of the building construction is Rs.10,000,00/-.",,,"likimääräinen, läheinen, likimääräinen, arvioida, likiarvoinen, suuntaa antava",приблизителен,,,,přiblížit se,brasamcanu,,,"aproksimativni, blizak, dostizati, približan, približiti, približni, približno, primaći, sličan","hozzávetôleges, közelítô, megközelítô",,,,,,aproximar,,,,,,"yaklaşmak, yaklaştırmak, yakın olmak, yakına gelmek, yakına getirmek. approxima'tion  tahmin, yaklaşma, yakın olma.",benader
approximately,əprɔksimətiːliː,"à peu près, aux bords de, environ","a eso de, apróximadamente, cerca de","तकरीबन रूप से, All the prices have been assessed approximately.",,"約, およそ, 大略","noin, arviolta, osapuilleen, palttiarallaa, suunnilleen, suurinpiirtein","о́коло, почти́, приблизи́телно",,,,přibližně,yn fras,,,"cca, oko, otprilike, približno","körülbelül, hozzávetôleg, hozzávetôlegesen","circa, verso",circa,"maždaug, arti (ko)",,,aproximadamente,,"приблизительно, примерно",,"cirka, ungefär, ungefärlig",,,"by benadering, omtrent, so, sowat"
April,eiprəl,avril,abril,"अप्रेल माह, April is the fourth mouth of the international calendar.",,"四月, 卯月",huhtikuu,"април, апри́л",april,April,إبريل/أب,dubnový,Ebrill,,an tAibreán,travnja,,aprile,Aprilis,balandis (mėnuo),,,abril,,апрель,"април, травањ",april,,,April
area,ɛəriə,aire,,"आयाम, The  total area of this field is 1000 squ. metres., क्षेत्र, Tele-communiscation services are available even in the remote rural areas., Scientific investigations reveal new areas of research in various spheres       of  teachnology.  ",,"面積, 地下勝手口, 地区, 領域","pinta-ala, ala, alue","площ, повърхнина́, простра́нство, край, о́бласт, райо́н",,,,sféra,,,,"dijelu, dio, djelokrug, kraj, kraju, kvart, oblast, ograđen prostor, područja, područje, području, površina, površine, prostor, prostora, prostoru, prostranstvo, sfera, zona","légtér, felszín, terület, felület, terep, térség",,area,"plotas, aikštelė, rajonas, sritis, zona, užmojis",,,área,,,,areal,,"alan, saha, mesaha, yüzölçümü.","area, gebied, oppervlakte"
argue,ɑːgjuː,se disputer,,"बहस करना, You should not argue on non-issues., प्रमाणित~करना, His point argues for a change in the policy decisions.",,"論ずる, 議論, 議論","väitellä, kiistellä, riidellä, vaatia, väittää, väittää vastaan, riidellä, väitellä, argumentoida, esittää, väittää, osoittaa",спо́ря,,,,tvrdit,dadlau,,,"diskutirati, dokazivati, objašnjavati se, prepirati se, prosuditi, raspravljati, razuvjeriti, uvjeravati, uvjeriti",,,,"ginčytis (with, against – su, about, over – dėl), įrodinėti, argumentuoti, įtikin(ė)ti (into)",,,"discutir, argumentar",,,,,,"tartışmak, münakaşa etmek, ispat etmek, delil göstermek, out of ile caydırmak, for ile delil göstererek lehte söz söylemek, savunmak, müdafaa etmek, against ile itiraz etmek, karşı gelmek.argue one into going bir kimseyi gitmeye razı etmek.",beredeneer
argument,ɑːgjumənt,argument,argumento,"बहस, The captain got into an argument with the umpire, तर्क, Ram's arguements against capital punishment were quite convincing, दलील, The prisoner's argument was that he was attacked first, विषय, The main arguement of the book is on economic liberaization",,"項, 引数, 論争","argumentti, perustelu, syy, argumentti, perustelu, väittely, aihe, kiista, kiistely, kina, kinastelu, riita, sanasota","аргумент, спор, дискусия",,,,dohady,,,,"argument, diskusija, dokaz, dokazivanje, nezavisna varijabla, objašnjavanje, parametar, prepirka, rasprava, razlog, spor, svađe","érvelés, szóváltás, okoskodás, érv, vita",argomento,,"argumentas, įrodymas, ginčas, įrodinėjimas, argumentavimas, dydis, kintamasis dydis",,,"argumento, argumentação, argumentar",argument,аргумент,,,,"tartışma, münakaşa, karşısındakileri ikna etmek için öne sürülen delil veya hususlar, bir kitabın savunduğu fikirlerin özeti. argumen'tal  münakaşa veya delil göstermeye ait. argumenta'tion  tartışma, yargılama, muhakeme. argumen'tative  tartışmacı, munakaşacı, zıtlık ifade eden, münakaşa götürür.",argument
arise,æraiz,"se soulever, naître","subir, nacer","उठना, Many questions arose in his mind, They arose before dawn and left for the forests., Many difficulties are arising due to negligence of officials, खड़ा~होना, Many problems arise due to lack of proper co-ordination",,起こる,"nousta, saada alkunsa, syntyä","излизам, произлизам, възниквам, появявам се",,,,vznikat,,,,"dizati se, dići se, naići, nametnuti se, nastajati, nastati, pojaviti se, poticati, proizlaziti, uskrsnuti, ustajati",,"salire, nascere",nasci,,,,"estabelecer-se, produzir-se, levantar-se, nascer, vir à luz",,,,,,"kalkmak, yerinden kalkmak, doğrulmak, zuhur etmek, ortaya çıkmak, doğmak.","opstaan, styg"
arm,ɑːm,"armer, accotoir, accoudoir, bras","armar, brazo","बाँह, He held the monkey in his arms, The dye has stained the arm of my jacket, शाखा, It is said that the monster was seen in the northern arm of the lake, This arm of the science institute houses the physics department, The country was bombarded through air arm, हत्था, She sat on the arm of the chair.",,"腕, 武器","haara, aselaji, haara, käsi, testiryhmä, lonkero, käsivarsi, haara, hiha, käsi, käsinoja, puomi, sanka, käsivarsi, käsi, vaakuna, ase","ръкав, ръка́, ръка, оръ́жие",arm,,,ozbrojit,arfogi,,lámh,"dio, drška, grana, grana drveta, kateta, krak, naoružati, naoružati se, oružje, poluga, ruka, ruka od šake do ramena, rukav, rukavac, ručica, ručka","fegyvernem, ág, kar, folyóág, ágazat, ruhaujj, elágazás","armare, bracchio","armare, bracchialis, armus, bracchium, lacertus","ranka (nuo plaštakos iki peties), rankovė, atrama, rankena, ginklas, ginkluoti(s), užtaisyti",,,"armar, prover de armas, braçal, braço",,рука,рука,"beväpna, väpna, arm",,"kol, dal, mil: şube, pazı, koy, küçük körfez, kuvvet, güç, otorite. armchair koltuk.armful  kucak dolusu. armhole  (terz.) kolevi.armlet  kısa kol (elbise), pazıbent, halis, koy. arm of the law güvenlik kuvvetleri. armpit  koltuk altı. arm' length kol boyu. arm' reach elin yetişeceği mesafe. be within arm' reach yakın olmak, elinin altında olmak. keep one at arm' length bir kimseyi uzak tutmak, yüz vermemek.",arm
armed,/ɑɹmd/,,,,,,"aseistautunut, aseistettu, varustettu, ladattu",въоръжен,,,,vyzbrojený,arfog,,,"naoružan, oružani, oružanih, ratni, utvrđen",,,,,,,,,,,,,silahlı. armed forces silahlı kuvvetler.,
arms,,,,"अस्त्र~शस्त्र, Those men were carrying arms.",,,,,,,,zbraně,breichiau,,,"naoružanja, naoružanje, naoružavanje, naručje, oružje, ruke",fegyver,,,,,,,,,,,,"silâhlar, cephane, arma.To arms ! Silâh başına ! bear arms silahlı olmak. under arms silâhlanmış, harbe hazır. up in arms ateş püskürmeye hazır, ayaklanmış, of kelenmiş. Iay down arms sulh yapmak, teslim olmak.",
army,ɑːmiː,"armée, armée militaire",ejército,"सेना, The King's army crossed the river., As he ran with the honey we noticed that an army of honeybees was , following him, An army of volunteers came to help the cyclone victims.",,"軍隊, 軍隊, 陸軍","armeija, massat, armeija, Puolustusvoimat, puolustusvoimat, armeija, armeija, maavoimat","а́рмия, войска́, армия",hær,hær,,armáda,byddin,,arm,"armija, armijski, vojna, vojna sila, vojni, vojska, vojske, vojsku",hadsereg,esercito,"exercitus, legio",,,,exército,,"армия, военные, войско",војска,"armé, här",,"kara ordusu, ordu. army  commander orgeneral. army worm sürü  halinde yürüyen ve her şeyi yiyip bitiren bir çeşit tırtıl.",leër
around,əraund,"autour de, parages","alrededor de, en torno de","लगभग, There are around 20,000 people in the stadium today., चारो~ओर, He looked around for his friend., घेरेवाला, The town was 100 kilometers around.",,…のまわり,"hengissä, mestoilla, olemassa, paikalla",о́коло,,,,kolem,o amgylch,,,"naokolo, nedaleko, oko, okolo, približno, u blizini, uokolo","közel, mindenfelé, körülbelül, felé, minden irányban, táján, körül, itt-ott, minden oldalon, körös-körül",intorno a,circa,"apie, aplink, (amer.) arti",,,"cerca de, por volta de, em redor de, em torno de, em volta de",,,,kring,,"(edat.) etrafına, etrafında, yakında, civarda, dört bir yanına, dört bir yanında, şuraya  buraya, şurada burada. get around ayakta  ve sihhatte olmak, atlatmak, yayılmak, get  around to fırsat bulmak, (fig.) eli değmek. to have been around hayat tecrübesi olmak, bir yerde bulunmuş olmak.",
arrange,əreindʒ,"accommoder, arranger, disposer, ordonner, ranger, régler",arreglar,"प्रबन्ध~करना, They have arranged a dinner in her honour., क्रम~से~लगाना, She was arranging flowers in a vase.",,"並べる, 整える","sovittaa, järjestää","нареждам, подреждам, систематизирам",ordne,arrangere,,sjednat,trefnu,,,"aranžirati, dogovoriti, dogovoriti se, dovesti u red, grupirati, isposlovati, izgladiti, namjestiti, obraditi, poredati, preurediti, prilagoditi, pripremiti, prirediti, rasporediti, razvrstati, srediti, svrstati, udesiti, urediti, utanačiti",,"predisporre, sistemare",,"išdėstyti, (su)tvarkyti, (su)rengti, (su)organizuoti, susitarti, (muz.) aranžuoti, (tech.) montuoti",,,"arranjar, arrumar, dispor, ordenar, preparar",,,,"arrangera, inreda",,"düzenlemek, tertip etmek, tanzim etmek, düzeltmek, sıraya koymak, tesviye etmek, dizmek, bir konuda anlaşmaya  varmak, kararlaştırmak, planlamak, islah etmek, bertaraf etmek, bitirmek, hazırlanmak, hazırlamak, (müz.) aranjman yapmak. arrangement  düzenlemi, tanzim, tesviye, düzen, nizam, tertip, sıra, dizme, hazırlık, anlaşma, mukavele, tertip edilmiş şey, (müz.) aranjman.","bedissel, beredder, beskik, reël"
arrangement,əreindʒmənt,"construction, disposition","acuerdo, arreglo, construcción","प्रबन्ध, The dinner arrangements were quite good., क्रम~से~स्थापन, She won the first prize for her flower arranggement., समझौता, I have an arrangement with the authorities to work at home.",,"配置, アレンジ","järjestely, järjestäminen, järjestely, sopimus, sovinto, asetelma, sommitelma, järjestys, sovittaminen, sovitus, järjestelyt, käytännön järjestelyt, käytännönjärjestelyt","подре́ждане, догово́реност, аранжиме́нт, мярка, приготовление",,,,urovnání,trefniad,,,"aranžman, dogovor, grupiranje, nagodba, obrada, poredak, postupak, prerada, pripreme, program, raspored, razmještaj, razvrstavanje, rješenje, slog elemenata, sporazum, svrstavanje, uređenje","tagoltság, megegyezés, elsimítás, egyezség, elrendezés, berendezés, elintézés, rendberakás, elhelyezkedés, megállapodás",accomodamento,,"(su)tvarkytymas, iš(si)dėstymas, klasifikavimas, susitarimas, suderinimas, rengimasis, pasirengimai, planai, perdirbimas, pritaikymas (scenai ir pan.), (muz.) aranžuotė, (tech.) montažas",,,"arranjo, disposição",,,,inredning,,,"akkoord, beskikking"
arrest,ərest,"arrêter, arrestation","arresto, detención, arrestar, detener","गिरफ्तार~करना, पकड़ना, The ploice arrested the thief., रोकना, Timely action arrested the falling share prices., आकर्षित~करना, Her musical voice immediately arrested my attention.",,"捕える, 捕まえる, 逮捕","pysäyttäminen, pysähdys, pysähtyminen, seisokki, seisominen, pidätys, pysäytin, pidättäminen, pidätys, takavarikko","приковавам, хващам, задържам, спирам, аресту́вам",,,,zadržet,arestio,,,"hapsiti, hapšenje, obustava, spriječiti, strpati u zatvor, uhititi, uhićenje, uhićenju, zabrana isplovljenja, zadržati, zadržavanje, zastoj, zatvor, zatvoriti, zaustaviti","feltartóztatás, letartóztatás, lefoglalás, zár alá vétel, ôrizetbe vétel, megakadályozás, leszorítás","arrestare, arresto",,,,,"prisão, apresar, apreender, capturar, prender",,"арест, арестовать",,"anhålla, arrestera, häkta, häkte",,"tutuklama, tevkif, hapis, durdurma, kesme, durdurmak, kesmek, (huk.) tutuklamak, tevkif etmek, tutmak, çekmek, celbetmek (dikkat) under arrest tutuklu, mevkuf, durdurulmuş.","arresteer, aanhouding, arrestasie"
arrival,əraivəl,"arrivage, arrivée, venue, fourniture, ravitaillement","llegada, aprovisionamiento","आगमन, We anxiously waited for her arrival., आगन्तुक, We are going to have a new arrival in our family.",,到着,"saapuminen, saapuja, saapuminen",присти́гане,,,,příchod,dyfodiad,,,"dolazak, dolazni, novorođenče, prispijeće, upadni","kiszállás, megérkezés, szállítmány, befutás, érkezés","arrivo, venuta",adventus,,,,chegada,,"приезд, приход",,"ankomst, tillkomst",,,"koms, aankoms"
