id,en,zh,py,vi,vi2
496,She has been collecting stamps.,她一直收集邮票。,Tā yīzhí shōují yóupiào.,Cô đã thu thập tem.,nàng luôn luôn thu thập tem .
497,There are many stars in the sky.,天上有很多星星。,Tiān shàng yǒu hěnduō xīngxīng.,Có nhiều ngôi sao trên bầu trời.,trên trời có rất nhiều vì sao .
498,We get to London this afternoon.,我们是今天下午到达伦敦的。,Wǒmen shì jīntiān xiàwǔ dàodá lúndūn de.,Chúng tôi đến London chiều nay.,chúng ta là xế chiều hôm nay đến luân thật thà .
499,What about having a pizza first?,先吃点比萨饼怎么样?,Xiān chī diǎn bǐsàbǐng zěnme yàng?,Làm thế nào về việc ăn bánh bisa đầu tiên?,ăn trước chút bánh Pizza thế nào ?
500,You'd better look before you leap.,你最好三思而后行。,Nǐ zuì hǎo sānsī érhòu xíng.,Bạn nên nghĩ hai lần.,ngươi tốt nhất nghĩ lại mà làm sau .
501,You know what I'm talking about.,我想你知道 我在说什么。,Wǒ xiǎng nǐ zhīdào wǒ zài shuō shénme.,Tôi nghĩ rằng bạn biết những gì tôi đang nói về.,ta nhớ ngươi hiểu rõ ta đang nói cái gì .
502,He has been sick for three weeks.,他已经病了几周了。,Tā yǐjīng bìngle jǐ zhōule.,Anh ấy đã bị ốm trong một vài tuần.,hắn đã bệnh vài tuần .
503,He inspected the car for defects.,他详细检查车子有无效障。,Tā xiángxì jiǎnchá chēzi yǒu wúxiào zhàng.,Anh kiểm tra chiếc xe một cách chi tiết.,hắn kỹ càng kiểm tra xe có hay không hiệu chương .
504,I count you as one of my friends,我把你算作我的一个朋友。,Wǒ bǎ nǐ suàn zuò wǒ de yīgè péngyǒu.,Tôi coi bạn là một người bạn của tôi.,ta đem ngươi tính làm ta một bằng hữu .
505,I go to school by bike every day.,我每天骑自行车上学。,Wǒ měitiān qí zìxíngchē shàngxué.,Tôi đi học hằng ngày.,ta mỗi ngày cưỡi xe đạp đi học .
506,I have a large collection of CDs.,我收集了很多唱片。,Wǒ shōujíle hěnduō chàngpiàn.,Tôi đã thu thập rất nhiều hồ sơ.,ta góp nhặt rất nhiều đĩa nhạc .
507,I won't be able to see him today.,今天我不可能去看他。,Jīntiān wǒ bù kěnéng qù kàn tā.,Tôi không thể nhìn thấy anh ấy hôm nay.,hôm nay ta không thể nào đi xem hắn .
508,I'll call a taxi in case of need.,如果需要的话，我会叫出租车的。,"Rúguǒ xūyào dehuà, wǒ huì jiào chūzū chē de.","Nếu bạn cần nó, tôi sẽ gọi taxi.","nếu cần , ta lại kêu lên thuê xe ."
509,Is there any sugar in the bottle?,瓶子里还有糖吗?,Píngzi lǐ hái yǒu táng ma?,Có đường nào trong chai không?,trong bình còn có kẹo không ?
510,It's a secret between you and me.,这是你我之间的秘密。,Zhè shì nǐ wǒ zhī jiān de mìmì.,Đây là bí mật giữa bạn và tôi.,đây là ngươi ta ở giữa bí mật .
511,It's very kind of you to help me.,你帮助我真是太好了。,Nǐ bāngzhù wǒ zhēnshi tài hǎole.,Thật tuyệt khi giúp tôi.,ngươi trợ giúp ta thật sự là quá tốt .
512,Let's divide the cake into three.,我们将蛋糕分成三份吧。,Wǒmen jiāng dàngāo fēnchéng sān fèn ba.,Hãy chia bánh thành ba bản.,chúng ta đem bánh ngọt chia ba phần đi .
513,Patience is a mark of confidence.,耐心是自信心的一种表现。,Nàixīn shì zìxìn xīn de yīzhǒng biǎoxiàn.,Kiên nhẫn là một biểu hiện của sự tự tin.,kiên nhẫn là lòng tự tin một loại biểu hiện .
514,Susan is going to finish college.,苏珊将完成大学学业。,Sū shān jiāng wánchéng dàxué xuéyè.,Susan sẽ hoàn thành các nghiên cứu đại học.,tô san đem hoàn thành đại học việc học .
515,That is my idea about friendship.,这是我关于友谊的看法。,Zhè shì wǒ guānyú yǒu yì de kànfǎ.,Đây là quan điểm của tôi về tình bạn.,đây là ta về hữu nghị cách nhìn .
516,The book you ask for is sold out.,你要的那本书已经售完了。,Nǐ yào dì nà běnshū yǐjīng shòu wánliǎo.,Cuốn sách bạn muốn đã được bán.,ngươi muốn quyển sách kia đã đã bán hết .
517,The boy was too nervous to speak.,那男孩紧张得说不出话来。,Nà nánhái jǐnzhāng dé shuō bu chū huà lái.,Cậu bé rất lo lắng đến nỗi anh không thể nói được.,cái kia nam hài khẩn trương đến nói không ra lời .
518,The play may begin at any moment.,戏随时都有可能开始。,Xì suíshí dōu yǒu kěnéng kāishǐ.,Chơi có thể bắt đầu bất cứ lúc nào.,drama tùy thời đều có thể có thể bắt đầu .
519,The salve will heal slight burns.,这种药膏能治疗轻微烧伤。,Zhè zhǒng yàogāo néng zhìliáo qīngwéi shāoshāng.,Thuốc mỡ này có thể điều trị bỏng nhẹ.,loại thuốc này cao có thể trị liệu rất nhỏ bỏng .
520,The sea sparkled in the sunlight.,阳光下，大海波光粼粼。,"Yángguāng xià, dàhǎi bōguānglín lín.","Trong ánh mặt trời, biển lấp lánh.","dưới ánh mặt trời , biển cả sóng nước lấp loáng ."
521,The teacher tested us in English.,老师用英文考我们。,Lǎoshī yòng yīngwén kǎo wǒmen.,Giáo viên kiểm tra chúng tôi bằng tiếng Anh.,thầy dùng tiếng Anh thi chúng ta .
522,There is a bridge over the river.,河上有一座桥。,Héshàng yǒu yīzuò qiáo.,Có một cây cầu trên sông.,trên sông có một toà kiều .
523,They rode their respective bikes.,他们各自骑着自己的自行车。,Tāmen gèzì qízhe zìjǐ de zìxíngchē.,Họ mỗi người đi xe đạp của riêng họ.,mỗi người bọn họ cưỡi xe đạp của mình .
524,They will arrive in half an hour.,他们将于半小时之内到达。,Tāmen jiāng yú bàn xiǎoshí zhī nèi dàodá.,Họ sẽ đến trong vòng nửa giờ.,bọn họ vào khoảng nửa giờ trong đến .
525,Time is more valuable than money.,时间比金钱宝贵。,Shíjiān bǐ jīnqián bǎoguì.,Thời gian có giá trị hơn tiền.,thời gian so với tiền tài quý giá .
526,We are all in favor of this plan.,我们都赞同这项计划。,Wǒmen dōu zàntóng zhè xiàng jìhuà.,Tất cả chúng tôi đều đồng ý với kế hoạch này.,chúng ta đều đồng ý cái này kế hoạch .
527,We reached London this afternoon.,我们是今天下午到达伦敦的。,Wǒmen shì jīntiān xiàwǔ dàodá lúndūn de.,Chúng tôi đến London chiều nay.,chúng ta là xế chiều hôm nay đến luân thật thà .
528,We two finished a bottle of wine.,我俩喝完了一瓶酒。,Wǒ liǎ hē wánliǎo yī píng jiǔ.,Chúng tôi uống một chai rượu vang.,hai ta uống xong một bình rượu .
529,What a lovely little girl she is!,她是一个多么可爱的小女孩耶!,Tā shì yīgè duōme kě'ài de xiǎo nǚhái yé!,Cô ấy thật là một cô bé dễ thương!,nàng là một cái cỡ nào đáng yêu tiểu nữ hài a !
530,Will you pick me up at my place?,你能到我的住处来接我吗?,Nǐ néng dào wǒ de zhùchù lái jiē wǒ ma?,Bạn có thể đến nơi ở của tôi để đón tôi không?,ngươi có thể tới chỗ ở của ta tới đón ta không ?
531,You may choose whatever you like.,你可以喜欢什么就选什么。,Nǐ kěyǐ xǐhuān shénme jiù xuǎn shénme.,Bạn có thể chọn bất cứ điều gì bạn thích.,ngươi có thể thích gì thì tuyển gì .
532,You're suff ering from an allergy?,你过敏吗?,Nǐ guòmǐn ma?,Bạn có bị dị ứng không?,ngươi dị ứng không ?
533,Beyond all questions you are right.,毫无疑问，你是对的。,"Háo wú yíwèn, nǐ shì duì de.",Không có nghi ngờ rằng bạn đúng.,"không hề nghi ngờ , ngươi là đúng ."
534,But I plan to weed the yard today.,我计划今天除院子里的草。,Wǒ jìhuà jīntiān chú yuànzi lǐ de cǎo.,Tôi dự định ngoại trừ cỏ trong sân hôm nay.,ta kế hoạch hôm nay trừ trong viện cỏ .
535,But who will do all the house work?,但是这些家务活谁来做呢?,Dànshì zhèxiē jiāwù huó shuílái zuò ne?,Nhưng ai làm những việc nhà này?,nhưng mà những thứ này việc nhà người đó tới làm đâu ?
536,Close the door after you，please.,请随手关门。,Qǐng suíshǒu guānmén.,Đóng cửa phía sau bạn.,mời theo tay đóng cửa .
537,Come to see me whenever you like.,你可以随时来见我。,Nǐ kěyǐ suíshí lái jiàn wǒ.,Bạn có thể gặp tôi bất cứ lúc nào.,ngươi có thể tùy thời đến thấy ta .
538,"Don't pull the chairs about,boys!",不要把椅子拖来拖去，孩子们!,"Bùyào bǎ yǐzi tuō lái tuō qù, háizimen!","Đừng kéo ghế, trẻ em!","không nên đem cái ghế kéo đến kéo đi , bọn nhỏ !"
539,He drives more carefully than you.,他开车比你小心。,Tā kāichē bǐ nǐ xiǎoxīn.,Anh ấy cẩn thận hơn bạn.,hắn lái xe so với ngươi cẩn thận .
540,He invited me to dinner yesterday.,他昨天请我吃晚饭了。,Tā zuótiān qǐng wǒ chī wǎnfànle.,Anh ấy đã hỏi tôi cho bữa tối ngày hôm qua.,hắn hôm qua mời ta ăn cơm tối .
541,He struck his attacker on the ear.,他打了那个攻击者一耳光。,Tā dǎle nàgè gōngjí zhě yī ěrguāng.,Anh ta tát kẻ tấn công.,hắn đánh người công kích kia một bạt tai .
542,He suddenly appeared in the party.,他突然在晚会上出现了。,Tā túrán zài wǎnhuì shàng chūxiànle.,Anh đột nhiên xuất hiện trong bữa tiệc.,hắn đột nhiên đang tiệc tối lên xuất hiện .
543,Her handbag goes with her clothes.,她的手袋和她的衣服很搭配。,Tā de shǒudài hé tā de yīfú hěn dāpèi.,Túi xách của cô ấy rất phù hợp với quần áo của cô ấy.,xắc tay của nàng và nàng trang phục vô cùng phối hợp .
544,Here we are.Row M seats l and 3.,哦，到了。M排，l号和3号。,"Ó, dàole. M pái,l hào hé 3 hào.","Oh, ở đây. Hàng M, L và 3.","a , đến .M sắp xếp ,l hào và 3 hào ."
545,His boss might get angry with him.,他的老板也许会生他的气。,Tā de lǎobǎn yěxǔ huì shēng tā de qì.,Ông chủ của anh ta có thể tức giận với anh ta.,hắn ông chủ có lẽ sẽ giận hắn .
546,I expect to be there this evening.,我打算今天晚上到那儿去。,Wǒ dǎsuàn jīntiān wǎnshàng dào nà'er qù.,Tôi dự định sẽ đến đó tối nay.,ta dự định buổi tối hôm nay đến nơi đó đi .
547,I really need to lose some weight.,我真的需要减肥了。,Wǒ zhēn de xūyào jiǎnféile.,Tôi thực sự cần phải giảm cân.,ta thật cần giảm cân .
548,I think you have the wrong number.,我想你打错号码了。,Wǒ xiǎng nǐ dǎ cuò hàomǎle.,Tôi nghĩ rằng bạn đã làm sai số.,ta nhớ ngươi đánh sai số .
549,I would rather stay at home alone.,我宁愿独自呆在家。,Wǒ nìngyuàn dúzì dāi zài jiā.,Tôi thà ở nhà một mình.,ta tình nguyện một mình ở tại cô .
550,I'd like to look at some sweaters.,我想看看毛衣。,Wǒ xiǎng kàn kàn máoyī.,Tôi muốn nhìn thấy chiếc áo len.,ta muốn thấy thấy áo len .
551,Its origin is still a mystery now.,它的起源至今仍是个谜。,Tā de qǐyuán zhìjīn réng shìgè mí.,Nguồn gốc của nó vẫn là một bí ẩn.,nó nguồn cơn đến nay vẫn là bí mật .
552,Money is no more than our servant.,金钱不过是我们的仆人。,Jīnqián bùguò shì wǒmen de pú rén.,Tiền chỉ là người hầu của chúng tôi.,tiền tài chẳng qua là chúng ta người hầu .
553,Once you begin，you must continue.,一旦开始，你就得继续。,"Yīdàn kāishǐ, nǐ jiù dé jìxù.","Một khi bạn bắt đầu, bạn phải tiếp tục.","một khi bắt đầu , ngươi liền phải tiếp tục ."
554,She is poor but quite respectable.,她虽穷，人品却很端正。,"Tā suī qióng, rén pǐn què hěn duānzhèng.","Mặc dù cô ấy nghèo, nhưng tính cách của cô ấy rất chính xác.","nàng mặc dù nghèo , nhân phẩm lại rất đoan chính ."
555,She spent a lot of money on books.,她花了很多钱来买书。,Tā huāle hěnduō qián lái mǎishū.,Cô đã chi rất nhiều tiền để mua sách.,nàng tốn rất nhiều tiền đến mua sách .
556,The girl in red is his girlfriend.,穿红衣服的那个女孩是他的女朋友。,Chuān hóng yīfú dì nàgè nǚháishì tā de nǚ péngyǒu.,Cô gái mặc quần áo đỏ là bạn gái của anh.,mặc đồ đỏ phục nữ hài kia là của hắn bạn gái .
557,There is a chair below the window.,窗户下面有一把椅子。,Chuānghù xiàmiàn yǒu yī bǎ yǐzi.,Có một chiếc ghế dưới cửa sổ.,phía dưới cửa sổ có một cái ghế .
558,They employed him as a consultant.,他们雇用他为顾问。,Tāmen gùyòng tā wèi gùwèn.,Họ thuê anh ta làm tư vấn.,bọn họ thuê mướn hắn là cố vấn .
559,To be honest with you，I'm twenty.,老实说，我20岁。,"Lǎoshí shuō, wǒ 20 suì.","Thành thật mà nói, tôi 20 tuổi.","thành thật mà nói , ta 20 tuổi ."
560,We often call him by his nickname.,我们经常叫他的绰号。,Wǒmen jīngcháng jiào tā de chuòhào.,Chúng tôi thường gọi anh ấy là biệt danh.,chúng ta thường xuyên gọi hắn tên hiệu .
561,Will you be free tomorrow evening?,你明晚有空吗?,Nǐ míng wǎn yǒu kòng ma?,Bạn có rảnh vào tối mai không?,ngươi đêm mai có trống không ?
562,Would you like to leave a message?,你要留话吗?,Nǐ yào liú huà ma?,Bạn có muốn nói với tôi không?,ngươi muốn lưu thoại không ?
563,You can never turn the clock back.,时光不能倒流。,Shíguāng bùnéng dàoliú.,Thời gian không thể đảo ngược.,thời gian không thể đổ chảy .
564,You may as well tell me the truth.,你还是把事实告诉我为好。,Nǐ háishì bǎ shìshí gàosù wǒ wèi hǎo.,Bạn vẫn cho tôi biết sự thật.,ngươi vẫn là đem sự thực nói cho ta biết cho thỏa đáng .
565,Are your grandparents still living?,你的祖父母还在么?,Nǐ de zǔfùmǔ hái zài me?,Ông bà của bạn vẫn ở đó chứ?,tổ phụ của ngươi mẫu còn đang ở sao ?
566,Can you recognize that woman，Mary?,你能认出那个女人是谁了吗，玛丽?,"Nǐ néng rèn chū nàgè nǚrén shì shuíle ma, mǎlì?","Bạn có thể nhận ra người phụ nữ là ai không, Mary?","ngươi có thể nhận ra cái đó nữ nhân là người nào không , mã lệ ?"
