id,zh,py,en,vi,HSK,s1zh,s1py,s1en,s1vi
634,材料,cái liào,"material, data, makings, stuff",vật liệu,4,热天穿棉布之类有渗透性的材料制成的衣服最为适宜。,rè tiān chuān miánbù zhīlèi yǒu shèntòu xìng de cáiliào zhìchéng de yīfu zuìwéi shìyí,In hot weather cloths made of a porous material like cotton are best.,ngày nóng mặc vải bông loại hình có tính thẩm thấu vật liệu chế thành trang phục tối là thích hợp .
635,参观,cān guān,"to look around, to tour, to visit",tham quan,4,他们估计参观者人数为1000万。,tāmen gūjì cānguān zhě rénshù wéi wàn,They estimated the number of visitors at 10 million.,bọn họ đoán chừng người tham quan nhân số là 1000 vạn .
636,差不多,chà bu duō,"almost, nearly, more or less, about the same, good enough, not bad",không sai biệt lắm,4,那辆车跟新的差不多.,nà liàng chē gēn xīn de chàbuduō,The car is pretty nearly new.,chiếc xe kia với mới không sai biệt lắm .
637,长城,Cháng chéng,the Great Wall,dài thành,4,这一段长城有八个垛口。,zhè yī duàn Chángchéng yǒu bā gè duǒkǒu,There are eight forts in this section of the Great Wall.,một đoạn này dài thành có tám cái lỗ châu mai .
638,长江,Cháng Jiāng,"Yangtze River, or Chang Jiang",Trường Giang,4,长江是世界上最长的河流之一。,Cháng Jiāng shì shìjiè shàng zuì cháng de héliú zhīyī,The Changjiang River is one of the longest rivers in the world.,Trường Giang là trên thế giới dài nhất dòng sông một trong .
639,尝,cháng,to taste,nếm,4,尝一点儿这种乳酪吧!,cháng yīdiǎnr zhèzhǒng rǔlào ba,Just have a taste of this cheese!,nếm một chút kiểu này sữa đặc đi !
640,场,chǎng,"large place used for a specific purpose, stage, scene (of a play), classifier for sporting or recreational activities, classifier for number of exams",trường,4,她每举办舞会，总喜欢搞得很排场。,tā měi jǔbàn wǔhuì zǒng xǐhuan gǎo dehěn páichang,If ever she gives a party she likes to do it in style.,"nàng mỗi tổ chức vũ hội , vẫn thích khiến cho vô cùng phô trương ."
641,超过,chāo guò,"to surpass, to exceed, to outstrip",vượt qua,4,为了安全起见，在市内开车时速不要超过三十公里。,wèile ānquán qǐjiàn zài shìnèi kāichē shísù bùyào chāoguò sānshí gōnglǐ,"For safety's sake, don't drive more than 30 kilometers per hour in the city.","vì an toàn lên thấy , đang trong thành phố lái xe vận tốc đừng có vượt qua 30 km ."
642,吵,chǎo,"to quarrel, to make a noise, noisy, to disturb by making a noise",nhao nhao,4,这间办公室里非常吵。,zhè jiān bàngōngshì lǐ fēicháng chǎo,It's very noisy in this office.,căn phòng làm việc này trong rất nhao nhao .
643,乘坐,chéng zuò,to ride (in a vehicle),cưỡi,4,,,,
644,成功,chéng gōng,"success, to succeed",thành công,4,演出极为成功。,yǎnchū jíwéi chénggōng,The performance was immense.,diễn xuất cực vì trở thành công .
645,成熟,chéng shú,"mature, ripe, to mature, to ripen, Taiwan pr. [chéng shóu]",thành thục,4,青少年是身体成熟期。,qīngshàonián shì shēntǐ chéngshú qī,Teenage is the period at which the body reaches maturity.,thanh thiếu niên là cơ thể thành thục kỳ .
646,成为,chéng wéi,"to become, to turn into",thành là,4,她很快成为大家注意的人物。,tā hěn kuài chéngwéi dàjiā zhùyì de rénwù,She soon becomes the centre of attention.,nàng rất nhanh thành vì mọi người chú ý nhân vật .
647,诚实,chéng shí,"honest, honesty, honorable, truthful",thành thật,4,他只是表面诚实而已。,tā zhǐshì biǎomiàn chéngshí éryǐ,He is honest only on the surface.,hắn chỉ là mặt ngoài thành thật mà thôi .
648,吃惊,chī jīng,"to be startled, to be shocked, to be amazed",giật mình,4,这消息使他们大为吃惊。,zhè xiāoxi shǐ tāmen dàwéi chījīng,The news greatly surprised them.,tin tức này khiến cho bọn hắn lớn là giật mình .
649,重新,chóng xīn,"again, once more, re-",lại lần nữa,4,我们必须重新开始。,wǒmen bìxū chóngxīnkāishǐ,We must make a new start.,chúng ta nhất định phải lại bắt đầu lại từ đầu .
650,抽烟,chōu yān,"to smoke (a cigarette, tobacco)",hút thuốc,4,我讨厌他在教室抽烟。,wǒ tǎoyàn tā zài jiàoshì chōuyān,I got sick of his smoking in the classroom.,ta ghét hắn ở đây phòng học hút thuốc .
651,出差,chū chāi,to go on an official or business trip,đi công tác,4,我将在这星期或下星期出差。,wǒ jiāng zài zhè xīngqī huò xiàxīngqī chūchāi,I will go on business either this week or next week.,ta sẽ tại cái này tuần lễ hoặc tuần sau đi công tác .
652,出发,chū fā,"to start out, to set off",xuất phát,4,我们是六点出发的.,wǒmen shì liù diǎn chūfā de,We started at six.,chúng ta là sáu giờ xuất phát .
653,出生,chū shēng,to be born,xuất sinh,4,我出生在河北省的一个小村庄。,wǒ chūshēng zài Héběi Shěng de yī gè xiǎo cūnzhuāng,I was born in a small village in Hebei Province.,ta sinh ra ở tỉnh Hà Bắc một thôn trang nhỏ .
654,传真,chuán zhēn,"fax, facsimile",fax,4,可以来信或传真预订。,kěyǐ láixìn huò chuánzhēn yùdìng,Reservations can be made by letter or fax.,có thể tới tin hoặc fax đặt trước .
655,窗户,chuāng hu,window,cửa sổ,4,窗户碎成碎片。,chuānghu suì chéng suìpiàn,The window broke into pieces.,cửa sổ vỡ thành mảnh vỡ .
656,词典,cí diǎn,"dictionary (of Chinese compound words), also written 辭典|辞典[cí diǎn]",từ điển,4,学习外语离不开好的词典。,xuéxí wàiyǔ líbukāi hǎo de cídiǎn,A good dictionary is indispensable for learning a foreign language.,học tập ngoại ngữ không ly khai tốt. từ điển .
657,从来,cóng lái,"always, at all times, never (if used in negative sentence)",từ trước đến giờ,4,她父亲很严厉，他从来没有表扬过她。,tā fùqīn hěn yánlì tā cóngláiméiyǒu biǎoyáng guò tā,She had a stern father who never praised her.,"nàng bố vô cùng nghiêm khắc , hắn từ trước đến giờ không có khen qua nàng ."
658,粗心,cū xīn,"careless, thoughtless",sơ ý,4,整个作业的安全让一个粗心大意的人给破坏了.,zhěnggè zuòyè de ānquán ràng yī gè cūxīndàyì de rén gěi pòhuài le,The security of the whole operation has been jeopardized by one careless person.,tất cả làm việc an toàn khiến một sơ ý chủ quan người cho phá hủy .
659,答案,dá àn,"answer, solution",đáp án,4,同样的问题人们向他问得太多了，所以他的答案也是千篇一律。,tóngyàng de wèntí rénmen xiàng tā wèn dé tài duō le suǒyǐ tā de dá'àn yě shì qiānpiānyīlǜ,He was asked the same question so many times that the answer became mechanical.,"đồng dạng vấn đề mọi người hướng hắn hỏi được quá nhiều rồi , cho nên đáp án của hắn cũng là liên miên bất tận ."
660,打扮,dǎ ban,"to decorate, to dress, to make up, to adorn, manner of dressing, style of dress",cách ăn mặc,4,她讨厌打扮自己。,tā tǎoyàn dǎban zìjǐ,She hated being dressed up.,nàng ghét cách ăn mặc tự mình .
661,打扰,dǎ rǎo,"to disturb, to bother, to trouble",quấy rầy,4,请别打扰我。,qǐng bié dǎrǎo wǒ,Please leave me alone.,xin đừng quấy rầy ta .
662,打印,dǎ yìn,"to print, to seal, to stamp",đóng dấu,4,你可以使用联机打印机把数据打印出来。,nǐ kěyǐ shǐyòng lián jī dǎyìnjī bǎ shùjù dǎyìn chūlái,You may use an online printer to print out the data.,ngươi có thể sử dụng liên cơ máy đánh chữ đem số liệu đóng dấu ra đây .
663,打折,dǎ zhé,to give a discount,đánh gãy,4,今天百货公司在打折。,Jīntiān bǎihuò gōngsī zài dǎzhé.,It’s sales today in the department store.,hôm nay công ty tổng hợp đang đánh gấp .
664,打针,dǎ zhēn,to give or have an injection,chích,4,我讨厌打针。,wǒ tǎoyàn dǎzhēn,I hate injection.,ta ghét chích .
665,大概,dà gài,"roughly, probably, rough, approximate, about",khoảng,4,这大概正是我要做的。,zhè dàgài zhèngshì wǒ yào zuò de,Maybe that's what I'll do.,cái này khoảng chính là ta muốn làm .
666,大使馆,dà shǐ guǎn,embassy,đại sứ quán,4,该领事馆已升格为大使馆.,gāi lǐngshìguǎn yǐ shēnggé wéi dàshǐguǎn,The consulate was upgraded to embassy status.,nên lãnh sự quán đã thăng cấp là đại sứ quán .
667,大约,dà yuē,"approximately, about",ước chừng,4,这所中学大约有300个学生。,zhè suǒ zhōngxué dàyuē yǒu gè xuésheng,There are 300 students or so in this middle school.,cái này chỗ trung học ước chừng có 300 cái học sinh .
668,戴,dài,"to put on or wear (glasses, hat, gloves etc), to respect, to bear, to support",mang,4,他的帽子没戴正.,tā de màozi méi dài zhèng,His hat isn't on straight.,cái mũ của hắn không có mang chính .
669,代表,dài biǎo,"representative, delegate",đại biểu,4,我代表我的同事和我本人向你表示感谢。,wǒ dàibiǎo wǒ de tóngshì hé wǒ běnrén xiàng nǐ biǎoshì gǎnxiè,On behalf of my colleagues and myself I thank you.,ta đại biểu đồng nghiệp của ta và ta bản thân hướng ngươi ngỏ ý cảm ơn .
670,代替,dài tì,"instead, to replace, to substitute (X for Y, or a number in an algebraic expression)",thay thế,4,他以一张欠条代替现金付给我们。,tā yǐ yī zhāng qiàntiáo dàitì xiànjīn fùgěi wǒmen,He gave us an I.O.U. in lieu of cash.,hắn dùng một tờ phiếu nợ thay thế tiền mặt đưa cho chúng ta .
671,大夫,dài fu,"doctor, minister of state (in pre-Han states)",bác sĩ,4,"你不请大夫来, 他就得死了.",nǐ bù qǐng dàifu lái tā jiù dé sǐ le,He will certainly die if you don't call a doctor.,"ngươi không mời bác sĩ đến , hắn thì phải chết ."
672,当,dāng,"to be, to act as, manage, withstand, when, during, ought, should, match equally, equal, same, obstruct, just at (a time or place), on the spot, right, just at",lúc,4,是的，当然可以。,shìde dāngrán kěyǐ,"Yes, certainly.","đúng vậy , tất nhiên có thể ."
673,当地,dāng dì,local,địa phương,4,他经常给当地报纸写文章。,tā jīngcháng gěi dāngdì bàozhǐ xiě wénzhāng,He constantly writes articles for the local paper.,hắn thường xuyên cho địa phương báo chí viết văn .
674,当时,dāng shí,"then, at that time, while",lúc đó,4,"无可否认, 他当时并不知道.",wúkě fǒurèn tā dāngshí bìngbù zhīdào,"Admittedly, he didn't know that at the time.","không thể phủ nhận , hắn lúc đó cũng không biết ."
675,刀,dāo,"knife, blade, single-edged sword, cutlass",dao,4,他用一把刀子将苹果切开。,tā yòng yī bǎ dāozi jiāng píngguǒ qiē kāi,He cleaved an apple with a knife.,hắn dùng một cây đao đem quả táo mở ra .
676,导游,dǎo yóu,"tour guide, guidebook, to conduct a tour",hướng dẫn du lịch,4,旅游团成员从导游那里拿到详细的日程表。,lǚyóutuán chéngyuán cóng dǎoyóu nàli ná dào xiángxì de rìchéngbiǎo,The member of the group is given a detailed tour itinerary by the courier.,du lịch đoàn thành viên theo hướng dẫn du lịch chỗ đó cầm tới kỹ càng nhật trình biểu .
677,到处,dào chù,everywhere,khắp nơi,4,他被家庭束缚，不能再到处去旅游了。,tā bèi jiātíng shùfù bùnéng zài dàochù qù lǚyóu le,He was fettered by his family and could not travel any longer.,"hắn bị gia đình trói buộc , không thể lại đến chỗ đi du lịch ."
678,到底,dào dǐ,"finally, in the end, when all is said and done, after all, to the end, to the last",rốt cục,4,假使剥去了人们的衣服的话，到底彼此的阶级能够维持到什么程度，倒是一则有趣的问题。,jiǎshǐ bāo qù le rénmen de yīfu dehuà dàodǐ bǐcǐ de jiējí nénggòu wéichí dào shénme chéngdù dàoshi yīzé yǒuqù de wèntí,It is an interesting question how far men will retain their relative rank if they were divest of their clothes.,"giả sử bóc đi mọi người quần áo mà nói , rốt cục lẫn nhau giai cấp có thể duy trì tới trình độ nào , ngược lại là một thì thú vị vấn đề ."
679,道歉,dào qiàn,to apologize,xin lỗi,4,财务董事派人带话说，她因不能出席会议而向大家道歉。,cáiwù dǒngshì pài rén dài huàshuō tā yīn bùnéng chūxí huìyì ér xiàng dàjiā dàoqiàn,The Finance Director sends her apology and is unable to attend the meeting.,"tài vụ Uỷ viên quản trị phái người tiện thể nhắn nói , nàng bởi vì không thể dự họp hội nghị mà hướng mọi người nói xin lỗi ."
680,得意,dé yì,"proud of oneself, pleased with oneself, complacent",đắc ý,4,他因得到胜利而洋洋得意。,tā yīn dédào shènglì ér yángyángdéyì,He gloried in his victory.,hắn bởi vì đạt được thắng lợi mà dương dương đắc ý .
681,等,děng,"class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once",chờ,4,你得等一等看。,nǐ dé děngyīděng kàn,You will have to wait and see.,ngươi phải đợi nhất đẳng thấy .
682,等,děng,"class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once",chờ,4,你得等一等看。,nǐ dé děngyīděng kàn,You will have to wait and see.,ngươi phải đợi nhất đẳng thấy .
683,底,dǐ,"background, bottom, base, the end of a period of time, towards the end of (last month)",ngọn nguồn,4,我的鞋底都断了。,wǒ de xiédǐ dōu duàn le,The soles of my shoes are broken.,đáy giày của ta đều đoạn mất .
684,地球,dì qiú,"the Earth, planet",Trái Đất,4,月球绕地球运行。,yuèqiú rào dìqiú yùnxíng,The moon revolves around the earth.,mặt trăng quấn Trái Đất vận hành .
